idEstado,estado,idMunicipio,municipio,ciudad,zona,cp,asentamiento,tipo
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,Constitución,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"El Puertecito",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"El Rosedal",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Jardines de Montebello",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,NULL,Rural,20126,"La Soledad",Rancho
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,Libertad,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Lomas de La Asunción",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Los Ángeles",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Los Naranjos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Montebello Della Stanza",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,Natura,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Pozo Bravo Norte",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Pozo Bravo Sur",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Privada Guadalupe",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Residencial las Plazas",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Rinconada del Puertecito",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Rinconada Pozo Bravo",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"San José de Pozo Bravo",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Soberana Convención Revolucionaria",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa de Nuestra Señora de La Asunción Sector Alameda",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa de Nuestra Señora de La Asunción Sector Encino",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa de Nuestra Señora de La Asunción Sector Estación",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa de Nuestra Señora de La Asunción Sector Guadalupe",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa de Nuestra Señora de La Asunción Sector San Marcos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa Loma Dorada",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa Montaña",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa Notre Dame",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villa Teresa",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villas de Don Antonio",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villas de La Convención",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20126,"Villas del Río",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20127,"Bosques del Prado Norte",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20129,"Lomas del Campestre 1a Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Bosques del Prado Sur",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"El Roble",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,Fátima,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Independencia de México",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Nueva Rinconada",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Palma Real",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Palmas del Pedregal",Fraccionamiento
